Id;EngineSize;FuelType;FuelConsumptionCity;FuelConsumptionHwy;FuelConsumptionComb;FuelConsumptionCombMpg;CO2Emissions
1530;6;X;22;14.9;18.8;15;432
1531;6;E;30.3;20.5;25.9;11;414
1532;4.8;X;21.3;14.3;18.1;16;416
1533;6;X;22.2;15.1;19;15;437
1534;6;X;22.2;15.1;19;15;437
1535;6;E;30.6;20.6;26.1;11;418
1536;4.3;X;13.4;9.9;11.9;24;274
1537;4.3;E;19.3;14.3;17.1;17;274
1538;5.3;X;14.6;10.3;12.7;22;292
1539;5.3;E;19.9;13.8;17.2;16;275
1540;6.2;Z;16.1;11.4;14;20;322
1541;4.3;X;14.1;10.6;12.5;23;288
1542;4.3;E;20.3;15.2;18;16;288
1543;5.3;X;14.9;10.7;13;22;299
1544;5.3;E;20.2;14.3;17.5;16;280
1545;6.2;Z;16.3;11.6;14.2;20;327
1546;2.4;X;10.5;7.3;9.1;31;209
1547;2.4;X;10.5;7.3;9.1;31;209
1548;2.4;E;15.6;10.8;13.4;21;214
1549;3.6;X;14.2;9.5;12.1;23;278
1550;2.4;X;11.5;8.2;10;28;230
1551;3.6;X;14.8;9.9;12.6;22;290
1552;5.3;X;14.9;10.1;12.7;22;292
1553;5.3;E;20.2;13.6;17.2;16;275
1554;5.3;X;15.1;10.4;13;22;299
1555;5.3;E;20.5;14;17.6;16;282
1556;6.2;Z;16.2;11.4;14;20;322
1557;6.2;Z;15.9;11.1;13.8;20;317
1558;5.3;X;14.9;10.1;12.7;22;292
1559;5.3;E;20.2;13.6;17.2;16;275
1560;5.3;X;15.4;10.8;13.3;21;306
1561;5.3;E;22.1;15.4;19.1;15;306
1562;6.2;Z;16.8;11.7;14.5;19;334
1563;6.2;Z;16.4;11.7;14.3;20;329
1564;2.4;X;8.8;6.5;7.8;36;179
1565;2.4;X;9;6.7;8;35;184
1566;2.4;X;10.1;6.9;8.7;32;200
1567;3.5;X;11;6.8;9.1;31;209
1568;3.5;X;11.4;7.3;9.5;30;219
1569;3.5;X;13;8.4;10.9;26;251
1570;2;X;4.7;5.3;5;56;115
1571;1.8;X;7.9;6.1;7.1;40;163
1572;1.8;X;8.1;6.2;7.2;39;166
1573;1.8;X;8.6;6.6;7.7;37;177
1574;2.4;Z;10.8;7.6;9.4;30;216
1575;1.5;X;5.3;5;5.2;54;120
1576;2.4;X;8.6;6.9;7.8;36;179
1577;2.4;X;9.1;7.2;8.3;34;191
1578;1.5;X;6.6;6;6.3;45;145
1579;1.5;X;7.6;6.1;6.9;41;159
1580;1.5;X;7;5.7;6.4;44;147
1581;1.5;X;7.3;6.1;6.8;42;156
1582;1.5;X;8.1;6.4;7.3;39;168
1583;3.5;X;12.3;8.5;10.6;27;244
1584;3.5;X;13.3;9.3;11.5;25;264
1585;3.5;X;13.8;9.7;12;24;276
1586;1.6;X;8.9;6.3;7.7;37;177
1587;1.6;X;8.7;6.3;7.6;37;175
1588;1.8;X;8.5;6.3;7.5;38;172
1589;1.8;X;8.8;6.4;7.7;37;177
1590;2;X;9.7;6.7;8.3;34;191
1591;2;X;9.8;7;8.5;33;196
1592;2;X;9.6;6.8;8.3;34;191
1593;2;X;9.7;6.7;8.3;34;191
1594;2;X;9.7;7.2;8.6;33;198
1595;2;X;9.8;6.9;8.5;33;196
1596;5;Z;15.8;10.2;13.3;21;306
1597;3.8;X;14.4;9.4;12.1;23;278
1598;5;Z;17.3;10.5;14.2;20;327
1599;3.8;Z;14.6;9.6;12.3;23;283
1600;3.8;Z;14.4;9.9;12.4;23;285
1601;3.3;X;12.9;9.4;11.3;25;260
1602;3.3;X;13;9.7;11.5;25;264
1603;2.4;X;11.7;8.7;10.3;27;237
1604;2;X;12.9;9.8;11.5;25;264
1605;2.4;X;12.5;9.3;11.1;25;255
1606;3.3;X;13.9;10.8;12.5;23;287
1607;2;X;10.4;7.4;9.1;31;209
1608;2.4;X;9.8;6.7;8.4;34;193
1609;2.4;X;9.8;6.7;8.4;34;193
1610;2.4;X;6.6;5.9;6.3;45;145
1611;2.4;X;6.6;5.9;6.3;45;145
1612;2;X;10.2;8.2;9.3;30;214
1613;2;X;11.4;8.5;10.1;28;232
1614;2.4;X;11.3;8.3;10;28;230
1615;2;X;11.4;9.3;10.4;27;239
1616;2.4;X;11.6;9.3;10.6;27;244
1617;1.6;X;8.6;6.6;7.7;37;177
1618;1.6;X;9;6.7;8;35;184
1619;1.6;X;9.9;7.6;8.8;32;202
1620;1.6;X;9.7;7;8.5;33;196
1621;3.7;Z;12;8.1;10.3;27;237
1622;3.7;Z;12.5;8.7;10.8;26;248
1623;3.5;Z;8.2;6.7;7.5;38;172
1624;3.5;Z;8.7;7.5;8.2;34;189
1625;3.7;Z;12.4;8.7;10.7;26;246
1626;3.7;Z;13.6;9.3;11.6;24;267
1627;3.7;Z;13.3;9.4;11.5;25;264
1628;3.7;Z;13.6;9.3;11.7;24;269
1629;3.7;Z;14.3;9.8;12.3;23;283
1630;3.7;Z;12.8;8.9;11;26;253
1631;5.6;Z;14.8;9.5;12.4;23;285
1632;3.7;Z;13.2;9.6;11.6;24;267
1633;5.6;Z;15;10.2;12.9;22;297
1634;3.5;Z;8;6.9;7.5;38;172
1635;3.7;Z;13.7;9.7;11.9;24;274
1636;3.5;Z;11.4;8.5;10.1;28;232
1637;3.5;Z;12.2;8.9;10.7;26;246
1638;2.5;X;8.9;8.4;8.7;32;200
1639;3.7;Z;14.6;10.7;12.8;22;294
1640;5.6;Z;16.9;11.9;14.7;19;338
1641;3;Z;11.8;8.4;10.3;27;237
1642;3;Z;11.8;8.4;10.3;27;237
1643;3;Z;12.2;8.7;10.6;27;244
1644;3;Z;12.2;8.7;10.6;27;244
1645;5;Z;15;10.2;12.8;22;294
1646;5;Z;15;10.2;12.8;22;294
1647;2;Z;12.3;8.2;10.5;27;242
1648;3;Z;13.9;8.8;11.6;24;267
1649;5;Z;15.7;10.3;13.2;21;304
1650;5;E;21.3;14.1;18.1;16;290
1651;5;Z;15.7;10.3;13.2;21;304
1652;3;Z;14.6;9.6;12.4;23;285
1653;5;Z;15.8;10.2;13.3;21;306
1654;5;E;20.6;13.6;17.5;16;280
1655;3;Z;14.7;9.6;12.5;23;288
1656;5;Z;15.8;10.2;13.3;21;306
1657;5;E;20.6;13.6;17.5;16;280
1658;5;Z;15.8;10.2;13.3;21;306
1659;5;Z;15.8;10.2;13.3;21;306
1660;5;Z;15.9;10.9;13.6;21;313
1661;5;Z;15.6;10.9;13.4;21;308
1662;5;Z;15.9;10.9;13.6;21;313
1663;5;Z;15.6;10.9;13.4;21;308
1664;2.4;X;10.9;7.7;9.5;30;218
1665;2.4;X;10.9;7.7;9.5;30;218
1666;2.4;E;15.2;10.2;12.9;22;206
1667;3.2;X;11.4;8.1;9.9;29;228
1668;2.4;X;11.3;8.3;10;28;230
1669;2.4;X;11.3;8.3;10;28;230
1670;2.4;E;15.9;11;13.7;21;219
1671;3.2;X;11.6;8.5;10.2;28;235
1672;2.4;X;11.4;8.6;10.1;28;232
1673;3.2;X;12.6;8.9;10.9;26;251
1674;2.4;X;12.1;9.4;10.9;26;251
1675;3.2;X;12.2;9;10.8;26;248
1676;2;X;10.7;8.8;9.9;29;228
1677;2;X;10.2;7.8;9.2;31;212
1678;2.4;X;11.2;8.6;10;28;230
1679;2.4;X;10.2;8.2;9.3;30;214
1680;2.4;X;11.4;8.7;10.2;28;235
1681;2.4;X;10.6;8.6;9.7;29;223
1682;2.4;X;11.7;10.3;11.1;25;255
1683;3;D;11.2;8.4;9.9;29;267
1684;3.6;X;13.9;9.8;12.1;23;278
1685;3.6;E;17.7;13;15.6;18;250
1686;5.7;X;17.3;11.5;14.7;19;338
1687;6.4;Z;18.5;12.6;15.8;18;363
1688;2;X;10.7;8.8;9.9;29;228
1689;2;X;10.2;7.8;9.2;31;212
1690;2.4;X;11.2;8.6;10;28;230
1691;2.4;X;10.2;8.2;9.3;30;214
1692;2.4;X;11.4;8.7;10.2;28;235
1693;2.4;X;10.6;8.6;9.7;29;223
1694;2.4;X;11.7;10.3;11.1;25;255
1695;1.4;X;9.9;7.5;8.8;32;202
1696;2.4;X;10.8;7.7;9.4;30;216
1697;2.4;E;14.2;9.9;12.2;23;195
1698;1.4;X;9.9;7.5;8.8;32;202
1699;2.4;X;11.2;8;9.8;29;225
1700;3.6;X;14.1;11.1;12.8;22;294
1701;3.6;X;14.2;11;12.8;22;294
1702;3.6;X;14.8;11.7;13.4;21;308
1703;3.6;X;15;11.4;13.4;21;308
1704;3.3;X;12.7;8.4;10.7;26;246
1705;1.8;X;8.8;6.1;7.6;37;175
1706;1.8;X;9.3;6.3;7.9;36;182
1707;2;X;9.7;6.7;8.3;34;191
1708;2;X;9.8;6.9;8.5;33;196
1709;1.6;X;11.1;8;9.7;29;223
1710;1.6;X;11.1;8.2;9.8;29;225
1711;2;X;9.5;7.2;8.5;33;196
1712;2;X;9.7;6.9;8.4;34;193
1713;1.6;X;10.6;7.8;9.4;30;216
1714;1.6;X;10.8;8.1;9.6;29;221
1715;2;X;9.7;7.1;8.6;33;198
1716;2;X;10;7.4;8.8;32;202
1717;3.8;X;13.3;8.9;11.3;25;260
1718;5;Z;15.7;10.3;13.3;21;306
1719;2;X;11.7;7.7;9.9;29;228
1720;2.4;X;10.2;6.9;8.7;32;200
1721;2.4;X;6.6;5.9;6.3;45;145
1722;2.4;X;6.7;6.1;6.4;44;147
1723;1.6;X;8.8;6.3;7.7;37;177
1724;1.6;X;8.7;6.4;7.7;37;177
1725;1.6;X;8.5;6.3;7.6;37;175
1726;2;X;10.6;7.6;9.3;30;214
1727;2;X;10.8;7.4;9.3;30;214
1728;3.3;X;13.2;9.7;11.6;24;267
1729;3.3;X;12.9;9.5;11.4;25;262
1730;3.3;X;14.2;10.5;12.5;23;288
1731;2.4;X;11.8;8.7;10.4;27;239
1732;3.3;X;12.7;9;11.1;25;255
1733;2.4;X;12.2;9.4;10.9;26;251
1734;3.3;X;13.4;10;11.8;24;271
1735;1.6;X;9.8;7.8;8.9;32;205
1736;1.6;X;9.9;7.8;9;31;207
1737;2;X;10.1;7.7;9;31;207
1738;2;X;9.7;7.7;8.8;32;202
1739;2.4;X;11.4;8.3;10;28;230
1740;2.4;X;12.9;9.2;11.3;25;260
1741;2;X;12.6;9.7;11.3;25;260
1742;2.4;X;12;9.1;10.7;26;246
1743;6.5;Z;22.2;12.7;17.9;16;412
1744;6.5;Z;24;14.5;19.7;14;453
1745;5.2;Z;16.8;11.7;14.5;19;334
1746;6.5;Z;22.1;13.9;18.4;15;423
1747;2;Z;13.5;9.9;11.9;24;274
1748;3;Z;16.2;12.1;14.3;20;329
1749;3;Z;13.9;10.4;12.3;23;283
1750;5;Z;17.2;12.5;15.1;19;347
1751;5;E;25;16.9;21.4;13;342
1752;5;Z;17.2;12.5;15.1;19;347
1753;5;E;25;16.9;21.4;13;342
1754;2;Z;11.3;7.9;9.7;29;223
1755;2;Z;11.3;7.9;9.7;29;223
1756;3;Z;14;10.5;12.4;23;285
1757;5;Z;16.6;12.3;14.7;19;338
1758;5;E;24;16.6;20.7;14;331
1759;1.8;X;5.5;5.9;5.7;50;131
1760;2.5;X;5.8;6.1;5.9;48;136
1761;3.5;X;11.3;7.5;9.6;29;221
1762;3.5;Z;12.3;8.5;10.6;27;244
1763;3.5;Z;12.6;9.1;11;26;253
1764;3.5;Z;8;6.9;7.5;38;172
1765;4.6;Z;15.7;11.7;13.9;20;320
1766;2.5;Z;11.1;7.8;9.6;29;221
1767;2.5;Z;11.8;8.7;10.4;27;239
1768;2.5;Z;11.2;7.8;9.6;29;221
1769;3.5;Z;12.3;8.5;10.6;27;244
1770;3.5;Z;12.6;9.1;11;26;253
1771;3.5;Z;12.2;8.7;10.6;27;244
1772;4.6;Z;14.4;9.6;12.3;23;283
1773;4.6;Z;15.2;10.2;12.9;22;297
1774;4.6;Z;15.2;10.2;12.9;22;297
1775;5;Z;12.7;10.1;11.5;25;264
1776;5.7;Z;19;13.6;16.6;17;382
1777;2;Z;10.6;8.4;9.6;29;221
1778;2;Z;10.8;8.8;9.9;29;228
1779;2.5;X;7.1;7.7;7.4;38;170
1780;3.5;Z;12.3;8.5;10.6;27;244
1781;3.5;Z;12.6;9.1;11;26;253
1782;5;Z;15.2;9.5;12.6;22;290
1783;3.5;X;13.3;9.8;11.7;24;269
1784;3.5;X;12.7;9.1;11.1;25;255
1785;3.5;Z;8;8.5;8.2;34;189
1786;2;X;12.4;9;10.9;26;251
1787;2.3;X;12.9;9.2;11.2;25;258
1788;3.5;X;13.9;9.5;11.9;24;274
1789;3.7;X;13.1;9;11.2;25;258
1790;3.5;X;14.6;10.4;12.8;22;294
1791;2;X;11.5;8.4;10.1;28;232
1792;3.7;X;14.1;10;12.2;23;281
1793;3.7;X;13.7;10.3;12.1;23;278
1794;2;X;10.5;7;8.9;32;205
1795;3.7;X;13.1;9.2;11.3;25;260
1796;2;X;5.7;6;5.8;49;133
1797;3.5;X;16.2;11.8;14.2;20;327
1798;3.5;X;16.1;12.3;14.4;20;331
1799;3;Z;15.2;9.6;12.7;22;292
1800;3;Z;15.6;9.5;12.8;22;294
1801;4.7;Z;18.2;11.4;15.1;19;347
1802;4.7;Z;18.2;11.6;15.2;19;350
1803;3.8;Z;17.5;10.7;14.5;19;334
1804;3;Z;15.7;9.7;13;22;299
1805;2;X;8.9;7.3;8.2;34;189
1806;2;X;9;6.8;8;35;184
1807;2.5;X;9.6;7.4;8.6;33;198
1808;2;X;9.3;7.6;8.5;33;196
1809;2.5;X;9.9;7.9;9;31;207
1810;3.7;X;14.2;10;12.3;23;283
1811;3.7;X;14.3;10.6;12.7;22;292
1812;2;X;7.9;5.7;6.9;41;159
1813;2;X;8;5.8;7;40;161
1814;2.5;X;8.4;6.1;7.4;38;170
1815;2.5;X;8.2;5.9;7.2;39;166
1816;2.5;X;9.3;6.4;8;35;184
1817;2;X;8;5.9;7;40;161
1818;2;X;8.2;5.9;7.1;40;163
1819;2.5;X;8.7;6.5;7.7;37;177
1820;2.5;X;8.2;6;7.2;39;166
1821;2.5;X;9.2;6.6;8.1;35;186
1822;2.5;X;10.7;8.2;9.6;29;221
1823;2.5;X;11.1;8.3;9.8;29;225
1824;2.5;X;8.8;6.1;7.6;37;175
1825;2.5;X;9.4;6.4;8.1;35;186
1826;2.5;X;8.4;5.9;7.3;39;168
1827;2;Z;11.5;8.5;10.1;28;232
1828;2;Z;10.5;8.5;9.6;29;221
1829;2;Z;11.1;8.4;9.9;29;228
1830;2;Z;9.2;6.6;8;35;184
1831;2;Z;10;7.5;8.9;32;205
1832;1.8;Z;10.9;7.5;9.4;30;216
1833;2;Z;10.1;7.8;9;31;207
1834;3.5;Z;12.1;8.7;10.6;27;244
1835;3.5;Z;12.1;8.6;10.5;27;242
1836;3;Z;11.1;8.4;9.9;29;228
1837;6.2;Z;17.9;12.3;15.4;18;354
1838;2;Z;9.4;6.4;8.1;35;186
1839;2;Z;9.9;7.4;8.8;32;202
1840;2;Z;10.2;7.7;9.1;31;209
1841;3;Z;12.1;8.5;10.5;27;242
1842;4.7;Z;14.5;10.1;12.5;23;288
1843;5.5;Z;15.1;10.8;13.1;22;301
1844;2.1;D;8.6;5.9;7.4;38;200
1845;3.5;Z;11.9;8.2;10.2;28;235
1846;3;Z;12;8.5;10.4;27;239
1847;3.5;Z;12.4;8.8;10.8;26;248
1848;3.5;Z;11.5;8.1;10;28;230
1849;3.5;Z;11.8;8.3;10.2;28;235
1850;4.7;Z;12.9;9.6;11.4;25;262
1851;4.7;Z;13.7;9.2;11.7;24;269
1852;4.7;Z;13.3;8.9;11.4;25;262
1853;5.5;Z;15.3;10.8;13.3;21;306
1854;5.5;Z;15.2;11;13.3;21;306
1855;5.5;Z;19.9;16.1;18.2;16;419
1856;5.5;Z;20;16.6;18.5;15;426
1857;3;D;13.6;10;12;24;324
1858;3;Z;15.2;12.6;14;20;322
1859;4.7;Z;17.5;13.2;15.6;18;359
1860;5.5;Z;18.2;14;16.3;17;375
1861;2;Z;9.8;7.4;8.7;32;200
1862;2;Z;10.5;8.1;9.4;30;216
1863;2.1;D;9.6;7;8.5;33;230
1864;3.5;Z;12.6;9.6;11.2;25;258
1865;3;D;11.8;8.5;10.3;27;278
1866;3;Z;13.3;10.4;12;24;276
1867;4.7;Z;16.3;11.8;14.2;20;327
1868;5.5;Z;17.3;13.5;15.6;18;359
1869;4.7;Z;12.6;8.6;10.8;26;248
1870;4.7;Z;14.4;9.8;12.3;23;283
1871;4.7;Z;14.8;9.8;12.5;23;288
1872;4.7;Z;14.7;9.1;12.2;23;281
1873;6;Z;18.1;11;14.9;19;343
1874;5.5;Z;15.7;10.1;13.2;21;304
1875;5.5;Z;15.7;10.1;13.2;21;304
1876;6;Z;18.5;11.8;15.5;18;357
1877;6;Z;18;11.3;15;19;345
1878;4.7;Z;13.8;9.5;11.9;24;274
1879;5.5;Z;14.7;9.5;12.4;23;285
1880;6;Z;16.7;11.2;14.2;20;327
1881;1.8;Z;10.4;7.2;9;31;207
1882;1.8;Z;10.4;7.2;9;31;207
1883;3.5;Z;11.1;8.1;9.8;29;225
1884;5.5;Z;12.4;8.5;10.6;27;244
1885;6.2;Z;18.1;12.6;15.6;18;359
1886;6.2;Z;18.1;12.6;15.6;18;359
1887;1.5;Z;8.5;6.3;7.5;38;172
1888;1.5;Z;8.1;5.9;7.1;40;163
1889;1.5;Z;8.5;6.3;7.5;38;172
1890;1.5;Z;8.2;5.9;7.2;39;166
1891;1.6;Z;8.6;6.5;7.7;37;177
1892;1.6;Z;8.4;6.4;7.5;38;172
1893;1.6;Z;9.4;7.9;8.7;32;200
1894;1.6;Z;8.4;6.4;7.5;38;172
1895;1.6;Z;8.5;6.5;7.6;37;175
1896;1.6;Z;8;6.4;7.3;39;168
1897;1.6;Z;9.4;7.9;8.7;32;200
1898;1.6;Z;8.4;6.4;7.5;38;172
1899;1.6;Z;8.6;6.5;7.7;37;177
1900;1.6;Z;8.4;6.4;7.5;38;172
1901;2;Z;9.2;7;8.2;34;189
1902;2;Z;10;7;8.6;33;198
1903;2;Z;9.2;7;8.2;34;189
1904;2;Z;10;7;8.6;33;198
1905;1.6;Z;9.2;6.8;8.1;35;186
1906;1.6;Z;9.1;6.8;8.1;35;186
1907;1.6;Z;10.1;7.8;9;31;207
1908;1.6;Z;9.5;7.7;8.7;32;200
1909;1.6;Z;9.2;6.8;8.1;35;186
1910;1.6;Z;9.1;6.8;8.1;35;186
1911;1.6;Z;10.1;7.8;9;31;207
1912;1.6;Z;9.5;7.7;8.7;32;200
1913;1.6;Z;9.2;6.8;8.1;35;186
1914;1.6;Z;9.1;6.8;8.1;35;186
1915;2;Z;9.3;7.3;8.4;34;193
1916;2;Z;10.4;7.7;9.2;31;212
1917;1.6;Z;9.2;6.8;8.1;35;186
1918;1.6;Z;9.1;6.8;8.1;35;186
1919;1.6;Z;10.1;7.8;9;31;207
1920;1.6;Z;9.5;7.7;8.7;32;200
1921;1.6;Z;9.2;6.8;8.1;35;186
1922;1.6;Z;9.1;6.8;8.1;35;186
1923;1.6;Z;10.1;7.8;9;31;207
1924;1.6;Z;9.5;7.7;8.7;32;200
1925;1.6;Z;9.2;6.8;8.1;35;186
1926;1.6;Z;9.1;6.8;8.1;35;186
1927;2;X;9.2;6.9;8.2;34;189
1928;2;X;9.6;6.9;8.4;34;193
1929;2.4;X;10.5;8.2;9.5;30;219
1930;2;Z;14.2;10.5;12.5;23;288
1931;2;Z;14;10.3;12.3;23;283
1932;2;Z;13.4;9.4;11.6;24;267
1933;2;X;9.6;7.3;8.6;33;198
1934;2;X;9.8;7.1;8.6;33;198
1935;1.2;X;6.4;5.3;5.9;48;136
1936;1.2;X;7;5.5;6.4;44;147
1937;2.4;X;9.5;7.5;8.6;33;198
1938;2.4;X;9.9;8.1;9.1;31;209
1939;3;Z;11.5;8.4;10.1;28;232
1940;2;X;9.3;7.3;8.4;34;193
1941;2;X;9.9;7.6;8.8;32;202
1942;2;X;9.6;7.7;8.8;32;202
1943;2.4;X;10.4;8.5;9.6;29;221
1944;3.7;Z;12.6;9.2;11.1;25;255
1945;3.7;Z;13.3;9.3;11.5;25;264
1946;3.7;Z;13;9.6;11.5;25;264
1947;3.7;Z;13.6;9.7;11.8;24;271
1948;2.5;X;8.7;6.2;7.6;37;175
1949;3.5;X;10.3;7.4;9;31;207
1950;5.6;X;19.2;13.4;16.6;17;382
1951;2.5;X;13.7;10.6;12.3;23;283
1952;2.5;X;12.2;10.2;11.3;25;260
1953;4;X;14.8;10.3;12.7;22;292
1954;4;X;15.7;11.3;13.7;21;315
1955;4;X;15;11.2;13.3;21;306
1956;3.8;Z;14.3;10.5;12.6;22;290
1957;1.6;X;8.5;7.2;7.9;36;182
1958;1.6;X;8.4;6.9;7.7;37;177
1959;1.6;X;8.8;7.5;8.2;34;189
1960;1.6;Z;8.9;7.5;8.3;34;191
1961;1.6;Z;9.4;8.1;8.8;32;202
1962;1.6;X;8.8;6.6;7.8;36;179
1963;1.6;X;8.6;6.6;7.7;37;177
1964;3.5;X;11;8.2;9.8;29;225
1965;3.5;X;11.2;8.3;9.9;29;228
1966;2;X;9.7;9;9.4;30;216
1967;3.5;X;11.9;8.6;10.4;27;239
1968;3.5;X;12.1;8.9;10.7;26;246
1969;3.5;X;12.7;9;11;26;253
1970;2.5;X;9.1;8.5;8.8;32;202
1971;3.5;X;12;8.7;10.5;27;242
1972;2.5;X;9.2;7.2;8.3;34;191
1973;2.5;X;9.5;7.4;8.5;33;196
1974;5.6;X;18.4;13.3;16.1;18;370
1975;5.6;X;19.7;14.3;17.2;16;396
1976;1.8;X;8;6.1;7.2;39;166
1977;1.8;X;8.9;6.6;7.9;36;182
1978;1.6;X;7.5;6;6.8;42;156
1979;1.6;X;8.6;6.5;7.7;37;177
1980;4;X;16;12;14.2;20;327
1981;4;X;16;12.3;14.4;20;331
1982;3.4;Z;11.6;8.4;10.1;28;232
1983;3.4;Z;12.3;8.6;10.6;27;244
1984;3.4;Z;11.5;8.3;10.1;28;232
1985;3.4;Z;12.3;8.7;10.7;26;246
1986;3.4;Z;11.6;8.5;10.2;28;235
1987;3.4;Z;12.3;8.7;10.7;26;246
1988;3.4;Z;11.9;8.7;10.5;27;242
1989;3.4;Z;12.5;9;10.9;26;251
1990;3.8;Z;12.6;9.2;11.1;25;255
1991;3.8;Z;13;9.2;11.3;25;260
1992;3.8;Z;13.1;9.4;11.4;25;262
1993;3.8;Z;13.4;9.3;11.6;24;267
1994;3.8;Z;12.2;8.9;10.7;26;246
1995;3.8;Z;12.6;8.9;11;26;253
1996;3.8;Z;12.5;9;11;26;253
1997;3.8;Z;12.9;9.2;11.2;25;258
1998;3.8;Z;12.6;9;11;26;253
1999;3.8;Z;12.9;9;11.2;25;258
2000;3.8;Z;12.6;9.2;11.1;25;255
2001;3.8;Z;13.4;9.3;11.6;24;267
2002;3.8;Z;11.9;8.7;10.5;27;242
2003;3.8;Z;12.4;8.7;10.7;26;246
2004;3.8;Z;12.2;8.7;10.6;27;244
2005;3.8;Z;12.5;8.9;10.9;26;251
2006;3.8;Z;16;11.5;14;20;322
2007;3.4;Z;12.3;8.9;10.8;26;248
2008;3.4;Z;12.9;9;11.1;25;255
2009;3.8;Z;12.8;9.3;11.2;25;258
2010;3.8;Z;13.1;9.2;11.4;25;262
2011;3.8;Z;13.7;9.6;11.9;24;274
2012;3.8;Z;13.7;9.6;11.9;24;274
2013;3.8;Z;13.7;9.6;11.9;24;274
2014;3.8;Z;13.7;9.6;11.9;24;274
2015;2.7;Z;10.7;7.4;9.2;31;212
2016;2.7;Z;11.5;7.9;9.9;29;228
2017;3.4;Z;10.9;7.7;9.5;30;218
2018;3.4;Z;12.1;8.9;10.7;26;246
2019;3.4;Z;11.3;7.9;9.8;29;225
2020;3.4;Z;11.9;8.6;10.4;27;239
2021;3;D;11.8;8.1;10.2;28;277
2022;3.6;Z;14.3;9.6;12.2;23;286
2023;4.8;Z;16.7;11.2;14.2;20;327
2024;2.7;Z;10.7;7.4;9.2;31;212
2025;2.7;Z;11.5;7.9;9.9;29;228
2026;3.4;Z;10.9;7.7;9.5;30;218
2027;3.4;Z;12.1;8.9;10.7;26;246
2028;3.4;Z;11.3;7.9;9.8;29;225
2029;3.4;Z;11.9;8.6;10.4;27;239
2030;3;Z;13.7;10.3;12.2;23;281
2031;3.6;Z;14.2;10.1;12.3;23;283
2032;3.6;Z;12.9;8.4;10.9;26;251
2033;3.6;Z;13.1;8.7;11.1;25;255
2034;3;Z;13.4;8.8;11.4;25;262
2035;3;Z;13.7;8.9;11.5;25;264
2036;4.8;Z;15.1;9.7;12.7;22;292
2037;3;Z;13.4;8.8;11.4;25;262
2038;4.8;Z;15.3;9.7;12.8;22;294
2039;4.8;Z;15.4;9.8;12.9;22;297
2040;4.8;Z;15.3;9.7;12.8;22;294
2041;4.8;Z;15.4;9.8;12.9;22;297
2042;3.6;X;13.9;9.5;11.9;24;274
2043;3.6;X;13.9;9.5;11.9;24;274
2044;3.6;E;19.4;13.6;16.8;17;269
2045;3.6;X;12.9;9.3;11.3;25;260
2046;5.7;X;17.1;12;14.8;19;340
2047;5.7;X;15.7;10.9;13.6;21;313
2048;3;D;11.5;8.4;10.1;28;273
2049;3;D;11.3;8;9.8;29;265
2050;3.6;X;14.6;10.1;12.6;22;290
2051;3.6;X;14.6;10.1;12.6;22;290
2052;3.6;E;20.5;14.5;17.8;16;285
2053;5.7;X;17.7;12.7;15.4;18;354
2054;5.7;X;16.2;11.5;14.1;20;324
2055;3;D;12.1;8.8;10.6;27;286
2056;3.6;X;13.3;9.1;11.4;25;262
2057;3.6;E;18.6;12.7;15.9;18;254
2058;2.4;X;11.2;8.1;9.8;29;225
2059;6.6;Z;19.2;12.4;16.1;18;370
2060;6.6;Z;19.2;12.4;16.1;18;370
2061;6.7;Z;20.9;12.7;17.2;16;396
2062;6.7;Z;20.7;12.9;17.2;16;396
2063;6.7;Z;20.9;12.7;17.2;16;396
2064;6.7;Z;20.7;12.9;17.2;16;396
2065;6.6;Z;18.7;11.8;15.6;18;359
2066;2;Z;9.6;7;8.4;34;193
2067;2;Z;10.9;7.9;9.6;29;221
2068;1.3;X;6.5;6.3;6.4;44;147
2069;2.5;X;10.2;7.6;9;31;207
2070;2.5;X;10.2;7.7;9;31;207
2071;2.4;X;10.9;8.5;9.8;29;225
2072;2.4;X;10.8;8.5;9.8;29;225
2073;1;Z;6.8;6.2;6.5;43;150
2074;1;Z;6.8;6.2;6.5;43;150
2075;2;Z;9.6;7;8.4;34;193
2076;2;Z;10.9;7.9;9.6;29;221
2077;2;Z;10.2;8.5;9.4;30;216
2078;2.5;X;9.6;7.5;8.7;32;200
2079;2.5;X;10.6;8.4;9.6;29;221
2080;2;X;8.5;6.4;7.6;37;175
2081;2;X;9.5;7;8.4;34;193
2082;2;X;8.5;6.4;7.6;37;175
2083;2;X;9.5;7;8.4;34;193
2084;2.5;X;9;6.5;7.9;36;182
2085;2.5;X;10.7;7.8;9.4;30;216
2086;3.6;X;11.9;8.2;10.2;28;235
2087;2.5;X;9.3;7.1;8.3;34;191
2088;2.5;X;11;8.2;9.7;29;223
2089;3.6;X;12;8.6;10.5;27;242
2090;2;Z;12.4;9.4;11.1;25;255
2091;2;Z;11.1;8.3;9.8;29;225
2092;2.5;Z;13.8;10.2;12.2;23;281
2093;2;X;9.1;7;8.1;35;186
2094;2;X;10.2;7.7;9.1;31;209
2095;2;X;7.9;6.9;7.5;38;173
2096;4;X;14.2;11.1;12.8;22;294
2097;4;X;14.2;11.1;12.8;22;294
2098;3.5;X;11.3;7.5;9.6;29;221
2099;2.5;X;9.7;6.9;8.4;34;193
